"","validationtext","y_val","predictions"
"69","because he said i realised suddenly that circumstance had brought me close to that small town were she lived still",1,0.991460919380188
"70","the curcumstances",0,0.00665950775146484
"71","he got to see he nan",1,0.961009740829468
"72","it made him go to hospital which brought him closer to where she stayed",1,0.991594791412354
"73","he realised he was in the town where his grannie still lived",1,0.999027609825134
"74","they broke out",0,0.00403741002082825
"75","that she whent back to her town",1,0.117372661828995
"76","didn't know really who it was",0,0.0125745236873627
"77","being very lame",1,0.952280163764954
"78","the poet went to hospital",1,0.962161660194397
"79","he got to come home",1,0.982863247394562
"80","he got put in hospital",1,0.976164817810059
"81","it was shocking",0,0.00818365812301636
"82","he wanted grannie to visit him",0,0.030291736125946
"83","she was shocked",0,0.0543040037155151
"84","the boy was in  the war he ask if is grany  him",0,0.0170416831970215
"85","it was all light and happy and then it became a bit sad and dark",0,0.00221633911132812
"86","he whent to a ward",1,0.0474261343479156
"87","the soldier gets injured and gets taken home he also goes to the hospital near his gran",1,0.992413282394409
"88","because she was very mean",0,0.182861357927322
"89","there wasn't going to be any more trouble from the war",0,0.00774276256561279
"90","she srunk",0,0.0110982358455658
"91","because it says years later war broke out and i became a soldier and was wounded while in france",0,0.00149893760681152
"92","hostpital",0,0.0133301317691803
"93","the poet was wounded",0,0.00766417384147644
"94","he got to visit his grannie",1,0.930772006511688
"95","yeyos later war broconout and bcaym a soldier and was wonded whille in frane",0,0.582788646221161
"96","a solder got wounded",0,0.00126689672470093
"97","she came to visit him",1,0.904711186885834
"98","to show you that when he's still older he still loves her",0,0.402730166912079
"99","he had to go back home in the hospital",1,0.992167115211487
"100","brought them back toghether",1,0.483385801315308
"101","he was given an opertunity to see her again",1,0.958979368209839
"102","to write",0,0.00546419620513916
"103","feeling very lame",1,0.966165900230408
"104","he got clocer to home",1,0.974514126777649
"105","that he was back home but in hospital",1,0.98847097158432
"106","grannie got smaller",0,0.00441631674766541
"107","because when he got injured he went to hospital near were she lived so she came to visit",1,0.955144762992859
"108","he could see her in hospital because the hospital was in the same town where grannie lived",1,0.999056875705719
"109","love lit up the day",0,0.0459139347076416
"110","it brought him close to the small town where grannie lived",1,0.999573528766632
"111","he realised the circumstances",0,0.00291943550109863
"112","he lost some of his memory",0,0.0535995364189148
"113","hes bin brought back home",1,0.964325070381165
"114","he became a soldier",0,0.00301387906074524
"115","that he could see his granny",1,0.962123155593872
"116","he forgot his grandmother",0,0.896613836288452
"117","that it broke",0,0.00285086035728455
"118","he went to a hospital in france",1,0.0638695359230042
"119","he was near whair she lived",1,0.994287133216858
"120","lame and boring",0,0.00903481245040894
"121","the poet got to see his grannie",1,0.967063069343567
"122","sad makes you think what will grannie think",0,0.01076939702034
"123","he went to a hospital in his grannies town",1,0.994174718856812
"124","it made you feel sad and worried",0,0.000992894172668457
"125","it brought him closer to grannie",1,0.939015328884125
"126","he was bored",0,0.0116917788982391
"127","he was close to where granny lived so he asked her to visit him",1,0.965975999832153
"128","grannie looked very small",0,0.0239411294460297
"129","the circumstance had brought him close to the small town where she was living still",1,0.995586097240448
"130","grannie was sad",0,0.00111633539199829
"131","he can't walk because he is lame",1,0.989960134029388
"132","he chould see his grannie",1,0.934895992279053
"133","he was wouned while he was in france",0,0.0102086663246155
"134","because he was wounded he was close to his nan's house and she visited",1,0.974895358085632
"135","she was still very lame",1,0.977169454097748
"136","he was near the town where grannie was",1,0.980913758277893
"137","had brought him close to that small town where she was living still",1,0.995717883110046
"138","he could see grannie",1,0.911243915557861
"139","he ended up near granny's house",1,0.957804322242737
"140","he got to see his granny again",1,0.985856950283051
"141","that grannie got to see him again",1,0.97376561164856
"142","he was lame where he got hurt",1,0.947660684585571
"143","that he was close to the small town",0,0.0246044993400574
"144","it shown that he had grown up",0,0.0139170587062836
"145","that he ended up near his gran",1,0.95583701133728
"146","the poet could'nt go see there granny",0,0.925899028778076
"147","hes fealing sad because he hasent seen his grannie in ages",0,0.968993306159973
"148","back home in the hospital",1,0.981759786605835
"149","he got to see his granny",1,0.971292734146118
"150","he was in the hospital during war",1,0.933839678764343
"151","he didn't get to see his grannie that often",0,0.420204997062683
"152","i think one of the effect could be sad because he was wonded in the war",0,0.270753443241119
"153","he gets to see his grannie",1,0.959074914455414
"154","he was brought near the town his grannie lives",1,0.997704863548279
"155","she remembered his granny",0,0.0488610863685608
"156","a soldier was wounded",0,0.00284767150878906
"157","the one effect was that ehen hes injured he goes to the town where granny lived",1,0.998329102993011
"158","the poet ended up where his granny lived",1,0.998376429080963
"159","it showes his grannie cares for him",0,0.0143192708492279
"160","was wouned later in france",0,0.00776422023773193
"161","it said the hospital was lame",0,0.975019216537476
"162","i was lame and small",1,0.0100199580192566
"163","brought him close to that small town",0,0.0205533504486084
"164","he was near to his grannies town",1,0.981258392333984
"165","that he saw his grannie as an tiny frail lady",1,0.004140704870224
"166","he was brought back to wear grannie lives",1,0.990909934043884
"167","to show how caring the grannie was",0,0.0162500143051147
"168","he was near his grannie",1,0.945438325405121
"169","brought him close to where granie lived  grannie visited him",1,0.99623167514801
"170","vividly recall",0,0.00407743453979492
"171","it made you feel sorry for him",0,0.00104162096977234
"172","he as near his granny vilage",1,0.973632097244263
"173","he came back to the small town where she was living still",1,0.993895947933197
"174","he got to see grannie",1,0.931635737419128
"175","saddness ",0,0.00659793615341187
"176","that he got to see his granny",1,0.969703912734985
"177","she came and i still",1,0.804219126701355
"178","he got very upset",0,0.393581956624985
"179","you know that he was older",0,0.0180788934230804
"180","was still very lame",1,0.976955413818359
"181","that he was missing his grannie",0,0.109544962644577
"182","he was wounded and could not walk",1,0.831956744194031
"183","he hurts his leg",1,0.268606424331665
"184","at home in hospital",1,0.958469986915588
"185","he could get to see his granny again",1,0.986344695091248
"186","he became united with her again",1,0.0133287608623505
"187","it says the word wounded",0,0.000680416822433472
"188","he got to see his gran again",1,0.98346209526062
"189","a sad effect",0,0.00188452005386353
"190","his hospital was near where his grannie",1,0.991733312606812
"191","that it was still very lame",1,0.9619300365448
"192","his grannie",0,0.0250113308429718
"193","he went to hospital and it was near his grannie",1,0.981805980205536
"194","it gave him a chance to see his grannie",1,0.390625238418579
"195","saddnes",0,0.0055612325668335
"196","he was back home in hospital was still very lame",1,0.998688280582428
"197","a sad effect it made it emotional",0,0.00150671601295471
"198","he got very lame",1,0.971395075321198
"199","his effot was to be with grannie",0,0.0275348722934723
"200","a soldier was wounded while in france",0,0.000731319189071655
"201","going to hospital back at home",1,0.994527220726013
"202","he was older and when grannie came she was small compared to him",0,0.526036381721497
"203","he seized the chance to write and ask her to visit him",0,0.0384918451309204
"204","critumstance",0,0.00725239515304565
"205","he remembered his granny",0,0.349211931228638
"206","i became a soldier and was wounded while in france",0,0.000508874654769897
"207","shock",0,0.0026983916759491
"208","he got to see his grann again",1,0.983483970165253
"209","he got closer to home",1,0.985472321510315
"210","his hospital is near where she is living",1,0.998568654060364
"211","he could not stop thinking about his grannie",0,0.0554100871086121
"212","he could come back to england and see his grannie again",1,0.995761692523956
"213","he couldn't visit his grannie",0,0.263849169015884
"214","he was in the same town as his grannie",1,0.959949851036072
"215","that he saw his grannie again",1,0.982877373695374
"216","it brought him to the town where grannie lived",1,0.998738348484039
"217","one effect is getting injured in france and going back home",1,0.94700288772583
"218","the effect was lame",0,0.912753939628601
"219","he went back to his grannie",1,0.961366057395935
"220","he was wounded in france",0,0.00331577658653259
"221","going home in the hospital and grannie visiting",1,0.990134298801422
"222","he went near the small town she lived in",1,0.996156632900238
"223","he was brought to the small town where she was living in",1,0.99604320526123
"224","he had to go to the ward",1,0.912468671798706
"225","a soldier and was wounded while in france",0,0.000575451122131199
"226","back home",1,0.898680984973907
